nomor,filename,sumber,nama_toko,tanggal,nama_barang,jumlah_barang,harga_satuan,total_harga_item,raw_text
1,primer_0000.jpg,primer,SOTO AYOM RCKOG,19-11-201,,,,,"SOTO AYOM RCKOG
KUTOS POS PNVONG
SEMAPONG
19-11-201T0
15.
OTA YA
30.000T
.00
COTEGYOM
R.OOOT
RODCEDS
6.000T
TEL MONTS
3.00T
ES TEH TOLOD
T
DONi
700
TATA
51.700
PAYOD
1
KERAT
4300
ITEM
CL1
5110:34T
SOMPAT TPAIOCT"
2,primer_0001.jpg,primer,watsons,,,,,,"watsons
iook good teel great
WATSONS INDONESIA
GRAND INDONESIA MALL
TELP02123581201
CS: CustomerService@watsons.co.id
130000
I
58982CT PRIN/VEIL PW MA
-26000
LESS 20%
104000
1)
SUBTOTAL (QTY
104000
MASTER
[K]5307957357
9455
GST @10%
0
CHANGE CASH
STATEMENT
9916300007****
Loyalty acc.number
Total Points
Description
20
Opening Balance
5
Earned value
25
Closing balance
00440020015 28112018 12:47:09 4407 za11a
BARANG KENA PAJAK, HARGA TERMASUK PPN
TERIMA KASIH ATAS KUNJUNGAN ANDA
PT.DUTA INTIDAYA
NPWP02.460.408.4-063.000
Tangga1 Pengukuhan 25 November 2005
JOIN NOWI WATSONS X FLAZZ MEMBERCARD
Only 50K Get Voucher 500K
#JadiMemberPastiUntung"
3,primer_0002.jpg,primer,ALFAMIDI ADISUMARMO,19-05-2022,,,,,"ALFAMIDI ADISUMARMO
ADISUMARM0/081226636221
JL.ADI SUMARMORT.O4/RW.
WA/SMS081110640888
Bon
38,200
BAGUS LEM AJAIB
219,100
Disc.
-8,400
38,200
Total Item
1
8,400
Total Disc.
29,800
Total Belanja
800
Voucher
Tunai
100,000
Kembalian
71,000
PPN(
3,350
Tg1.19-05-2022 07:26:47V.2022.3.0
Member : ROSIHAN ARI YUANA
POIN KARTU PONTA ANDA 1006
Selamat Poin anda bertambah 129
PT MIDI UTAMA INDONESIA TBK
NPWP:02.672.927.7-054.000"
4,primer_0003.jpg,primer,Central Park,,Central Park,3.0,4000.0,0.0,"Central Park
3X4.000
Rp
POPMIERBASO57G
12,000
MEGA Discount
1,200-
3X4.000
POPMIEKAYAM6OG
12,000
MEGA Discount
1,200-
5X2.450
12,250
IDMKARIAYMBWNG70
1,225-
MEGA Discount
40X8.400
BEAR BPAND TIN189
336.000
Discount
20,000-
HEGA Discount
31.600-
30X8.400
BEAR BRAND iIN189
252.000
Discount
15,000-
MEGA Discount
23,700-
1X1,200
Prog.Promo
1,200-
POPMIERBASO57G
1X1,200
1.200-"
5,primer_0003.jpg,primer,Central Park,,"1,200-",3.0,4000.0,6.0,"Central Park
3X4.000
Rp
POPMIERBASO57G
12,000
MEGA Discount
1,200-
3X4.000
POPMIEKAYAM6OG
12,000
MEGA Discount
1,200-
5X2.450
12,250
IDMKARIAYMBWNG70
1,225-
MEGA Discount
40X8.400
BEAR BPAND TIN189
336.000
Discount
20,000-
HEGA Discount
31.600-
30X8.400
BEAR BRAND iIN189
252.000
Discount
15,000-
MEGA Discount
23,700-
1X1,200
Prog.Promo
1,200-
POPMIERBASO57G
1X1,200
1.200-"
6,primer_0003.jpg,primer,Central Park,,"1,200-",5.0,2450.0,12250.0,"Central Park
3X4.000
Rp
POPMIERBASO57G
12,000
MEGA Discount
1,200-
3X4.000
POPMIEKAYAM6OG
12,000
MEGA Discount
1,200-
5X2.450
12,250
IDMKARIAYMBWNG70
1,225-
MEGA Discount
40X8.400
BEAR BPAND TIN189
336.000
Discount
20,000-
HEGA Discount
31.600-
30X8.400
BEAR BRAND iIN189
252.000
Discount
15,000-
MEGA Discount
23,700-
1X1,200
Prog.Promo
1,200-
POPMIERBASO57G
1X1,200
1.200-"
7,primer_0003.jpg,primer,Central Park,,"1,225-",40.0,8400.0,189.0,"Central Park
3X4.000
Rp
POPMIERBASO57G
12,000
MEGA Discount
1,200-
3X4.000
POPMIEKAYAM6OG
12,000
MEGA Discount
1,200-
5X2.450
12,250
IDMKARIAYMBWNG70
1,225-
MEGA Discount
40X8.400
BEAR BPAND TIN189
336.000
Discount
20,000-
HEGA Discount
31.600-
30X8.400
BEAR BRAND iIN189
252.000
Discount
15,000-
MEGA Discount
23,700-
1X1,200
Prog.Promo
1,200-
POPMIERBASO57G
1X1,200
1.200-"
8,primer_0003.jpg,primer,Central Park,,31.600-,30.0,8400.0,189.0,"Central Park
3X4.000
Rp
POPMIERBASO57G
12,000
MEGA Discount
1,200-
3X4.000
POPMIEKAYAM6OG
12,000
MEGA Discount
1,200-
5X2.450
12,250
IDMKARIAYMBWNG70
1,225-
MEGA Discount
40X8.400
BEAR BPAND TIN189
336.000
Discount
20,000-
HEGA Discount
31.600-
30X8.400
BEAR BRAND iIN189
252.000
Discount
15,000-
MEGA Discount
23,700-
1X1,200
Prog.Promo
1,200-
POPMIERBASO57G
1X1,200
1.200-"
9,primer_0003.jpg,primer,Central Park,,"23,700-",1.0,1200.0,0.0,"Central Park
3X4.000
Rp
POPMIERBASO57G
12,000
MEGA Discount
1,200-
3X4.000
POPMIEKAYAM6OG
12,000
MEGA Discount
1,200-
5X2.450
12,250
IDMKARIAYMBWNG70
1,225-
MEGA Discount
40X8.400
BEAR BPAND TIN189
336.000
Discount
20,000-
HEGA Discount
31.600-
30X8.400
BEAR BRAND iIN189
252.000
Discount
15,000-
MEGA Discount
23,700-
1X1,200
Prog.Promo
1,200-
POPMIERBASO57G
1X1,200
1.200-"
10,primer_0003.jpg,primer,Central Park,,POPMIERBASO57G,1.0,1200.0,0.0,"Central Park
3X4.000
Rp
POPMIERBASO57G
12,000
MEGA Discount
1,200-
3X4.000
POPMIEKAYAM6OG
12,000
MEGA Discount
1,200-
5X2.450
12,250
IDMKARIAYMBWNG70
1,225-
MEGA Discount
40X8.400
BEAR BPAND TIN189
336.000
Discount
20,000-
HEGA Discount
31.600-
30X8.400
BEAR BRAND iIN189
252.000
Discount
15,000-
MEGA Discount
23,700-
1X1,200
Prog.Promo
1,200-
POPMIERBASO57G
1X1,200
1.200-"
11,primer_0004.jpg,primer,DA,01/11/2020,,,,,"DA
Phore:06111252718
BANTENndoneste
81-2-4
te01/11/20202349
User:Ev Rontda
Saes Type:Nerea
2ESFRESSO
ICE SHAKEN ESPRESSO
40.000
K1KENTAN
KENTANG CORENS
22.000
1PAKESEAFOD
MUKBAN3A
900.000
Total
962.000
facebcokkupiricer
Instagras:kupiricer
twitter:kuoiricer"
12,primer_0005.jpg,primer,TITIK MULA COFFEE,06/05/2025,Steak-BROWN SAUCE,1.0,35000.0,0.0,"TITIK MULA COFFEE
J1.Dipokusumo No.28
Purbalingga LorKec.
Purbalingga,Kab
Purba l ingga-Jawa Tengah
53311
Phone:081215026200
Date
06/05/202514:21
Order NumberP0S-060525-21
Customer
KA16GC
Sales Type
Normal
User
KASIR1
Cashier
KASIR1
Crispy Beef
Steak-BROWN SAUCE
35.000
1x35.000
Crispy Beef Steak-BBQ
SAUCE
1x35.000
35.000
AMDK
12.000
2x6.000
Total Item 4
82.000
Subtotal
8.200
Tax
90.200
Total
Tender
90.200
QRIS
0
Change
instagram: @titikmula.coffee
Wiffi Password :
lemon8
pedesnyasambelkemangi
@khea3789"
