Nama File,Model,Item Asli (GT),Item Terbaca,Total Harga Asli (GT),Total Harga Terbaca,Akurasi Item (%),Akurasi Harga (%),Status
primer_0002.jpg,Paddle,1,0,38200,0,0.0,0.0,Gagal Total (0%)
primer_0002.jpg,Tesseract,1,0,38200,0,0.0,0.0,Gagal Total (0%)
primer_0002.jpg,EasyOCR,1,4,38200,726111,0.0,0.0,Sebagian (Terekstrak tapi ada miss)
primer_0031.jpg,Paddle,1,0,32000,0,0.0,0.0,Gagal Total (0%)
primer_0031.jpg,Tesseract,1,1,32000,0,100.0,0.0,Sebagian (Terekstrak tapi ada miss)
primer_0031.jpg,EasyOCR,1,0,32000,0,0.0,0.0,Gagal Total (0%)
primer_0051.jpg,Paddle,6,6,265500,86160,100.0,32.45,Sebagian (Terekstrak tapi ada miss)
primer_0051.jpg,Tesseract,6,7,265500,85400,83.33,32.17,Sebagian (Terekstrak tapi ada miss)
primer_0051.jpg,EasyOCR,6,0,265500,0,0.0,0.0,Gagal Total (0%)
primer_0085.jpg,Paddle,2,3,73200,0,50.0,0.0,Sebagian (Terekstrak tapi ada miss)
primer_0085.jpg,Tesseract,2,0,73200,0,0.0,0.0,Gagal Total (0%)
primer_0085.jpg,EasyOCR,2,0,73200,0,0.0,0.0,Gagal Total (0%)
primer_0021.jpg,Paddle,4,0,509000,0,0.0,0.0,Gagal Total (0%)
primer_0021.jpg,Tesseract,4,0,509000,0,0.0,0.0,Gagal Total (0%)
primer_0021.jpg,EasyOCR,4,3,509000,101499,75.0,19.94,Sebagian (Terekstrak tapi ada miss)
primer_0040.jpg,Paddle,12,44,390587,5899971,0.0,0.0,Sebagian (Terekstrak tapi ada miss)
primer_0040.jpg,Tesseract,12,3,390587,9195,25.0,2.35,Sebagian (Terekstrak tapi ada miss)
primer_0040.jpg,EasyOCR,12,0,390587,0,0.0,0.0,Gagal Total (0%)
primer_0052.jpg,Paddle,1,10,190000,0,0.0,0.0,Sebagian (Terekstrak tapi ada miss)
primer_0052.jpg,Tesseract,1,0,190000,0,0.0,0.0,Gagal Total (0%)
primer_0052.jpg,EasyOCR,1,1,190000,164026,100.0,86.33,Sebagian (Terekstrak tapi ada miss)
