id,split,label,source,width,height,md5,raw_path,aspect_ratio
train_0000,train,struk,cord-v2,864,1296,577d87caea8df9382d313aad0936b451,/content/dataset/raw/struk/train_0000.jpg,0.6666666666666666
train_0001,train,struk,cord-v2,864,1296,b3716147adc01249efdfc6bbbe39e772,/content/dataset/raw/struk/train_0001.jpg,0.6666666666666666
train_0002,train,struk,cord-v2,720,1280,39178845aa526145cba0490d9b8393f5,/content/dataset/raw/struk/train_0002.jpg,0.5625
train_0003,train,struk,cord-v2,1108,1478,9eb3ea797c470545f29ffb867745839a,/content/dataset/raw/struk/train_0003.jpg,0.7496617050067659
train_0004,train,struk,cord-v2,864,1296,563142de7ac0fdfad6748070b6cff398,/content/dataset/raw/struk/train_0004.jpg,0.6666666666666666
train_0005,train,struk,cord-v2,2304,4096,be4e5946251e983a783f53014f0e698a,/content/dataset/raw/struk/train_0005.jpg,0.5625
train_0006,train,struk,cord-v2,864,1296,4e842e2cc86c0d35290bdbaa18760761,/content/dataset/raw/struk/train_0006.jpg,0.6666666666666666
train_0007,train,struk,cord-v2,864,1296,cf3c789111e71486fa9b72fc0531aeec,/content/dataset/raw/struk/train_0007.jpg,0.6666666666666666
train_0008,train,struk,cord-v2,864,1296,2ef8def3b22c4bd8a620d54c29dc44db,/content/dataset/raw/struk/train_0008.jpg,0.6666666666666666
train_0009,train,struk,cord-v2,864,1296,e46c020e83c2dc640c97dbcf61676ba2,/content/dataset/raw/struk/train_0009.jpg,0.6666666666666666
train_0010,train,struk,cord-v2,432,648,3720daf111b553f70244700588167e72,/content/dataset/raw/struk/train_0010.jpg,0.6666666666666666
train_0011,train,struk,cord-v2,864,1296,d5d52f3c42ec0af9bfcbc8ee61998462,/content/dataset/raw/struk/train_0011.jpg,0.6666666666666666
train_0012,train,struk,cord-v2,576,864,2e476646d826cf7d64f4776802df6853,/content/dataset/raw/struk/train_0012.jpg,0.6666666666666666
train_0013,train,struk,cord-v2,2304,4096,f66c95e735242c732ceb17163195e7a5,/content/dataset/raw/struk/train_0013.jpg,0.5625
train_0014,train,struk,cord-v2,576,864,9dbc24bbf4a13f57ffc652defb77399b,/content/dataset/raw/struk/train_0014.jpg,0.6666666666666666
train_0015,train,struk,cord-v2,2304,4096,a6c4b5222bea0d603bc039ad50f10cea,/content/dataset/raw/struk/train_0015.jpg,0.5625
train_0016,train,struk,cord-v2,864,1296,1f4f09518b8aaf2761df5ce2ea06990d,/content/dataset/raw/struk/train_0016.jpg,0.6666666666666666
train_0017,train,struk,cord-v2,576,864,f1bc8d2290d177b421961e519b192b07,/content/dataset/raw/struk/train_0017.jpg,0.6666666666666666
train_0018,train,struk,cord-v2,864,1296,396a2a7e509ab1eb33665119edd0167d,/content/dataset/raw/struk/train_0018.jpg,0.6666666666666666
train_0019,train,struk,cord-v2,960,1280,f6b7bc61975a2fb68f8bbbe5be15d680,/content/dataset/raw/struk/train_0019.jpg,0.75
train_0020,train,struk,cord-v2,2304,4096,c16a5fad1d7f417076db86e37a58fd4f,/content/dataset/raw/struk/train_0020.jpg,0.5625
